#{"t_start": 1762704241.0969076, "env_id": "None"}
r,l,t
2217.0088,1617,9580.291468
1595.5408,1104,9637.549341
2990.9236,1934,9644.70013
2457.3616,1426,9644.85344
1950.7869,1152,9645.156873
2818.2375,1452,9645.604491
1221.3608,643,9646.033787
1582.2107,847,9646.844861
2854.805,1774,9647.141588
1644.6072,873,9717.247958
3000.0,1699,9717.592566
3707.5,2000,9717.75928
2359.766,1404,9718.035686
1693.0922,1009,9775.003738
2121.8486,1998,9775.042688
3080.0,1693,9775.242826
3015.986,1887,9775.80013
2371.0,1312,9776.373894
2737.6514,1426,9777.932688
1955.6969,1785,9839.816984
2415.9011,1429,9846.409892
2283.7017,1244,9846.460682
2441.8154,1438,9846.94477
2536.0,1385,9847.315196
1218.1489,921,9847.562032
2358.5703,1713,9847.994822
1598.1741,909,9913.959949
2436.8171,1235,9914.389385
2421.7246,1575,9916.26923
2001.0173,1217,9916.664779
2413.9814,1613,9916.968121
2396.463,1233,9973.824636
2053.7903,1436,9974.108398
1723.7794,882,9974.560089
2140.841,1470,9975.199891
1885.0425,1110,9976.181931
2216.619,1250,9976.453705
1600.753,955,10037.174069
2207.6602,1488,10037.556617
2366.9832,1438,10067.850321
2447.3547,1755,10067.940418
2746.2031,2000,10124.478352
2296.1553,2000,10125.381059
2161.6008,1379,10126.201366
1966.4277,1191,10126.248255
2721.0,1384,10126.541605
2514.7607,1535,10127.154197
1633.8853,1115,10127.725614
2543.828,1980,10128.452042
2040.5938,1166,10192.779448
2007.5035,1615,10193.011011
2151.495,1504,10194.037815
1576.8918,1764,10194.910456
2524.0005,2000,10195.507567
2145.2058,1611,10258.24539
2166.8472,1461,10258.292411
2543.7097,1665,10259.986662
1611.7452,1264,10260.25169
2659.0,1308,10314.943048
2619.938,1596,10315.414354
2542.0757,1513,10317.187601
2608.0,1499,10317.643869
2159.2097,1236,10317.956059
2161.0,1148,10318.226542
3022.8794,1977,10378.278988
1799.505,2000,10378.501935
2714.9905,1377,10379.13596
2032.8914,1179,10379.419579
3563.0,2000,10380.575932
1986.2054,1116,10380.820838
1722.6088,1171,10381.014904
1620.4844,961,10444.247901
3118.8003,2000,10444.958323
2421.8413,1592,10452.346503
3564.0,2000,10454.297455
2118.51,1178,10792.701332
2022.4277,1181,10794.734001
1990.4021,1276,10795.309432
1972.7665,1162,10795.575787
2571.0916,1613,10795.640536
3432.0015,2000,10796.099841
1958.16,1145,10854.54189
3665.0007,1786,10855.31415
3208.7017,2000,10856.276763
2835.9004,1595,10856.757399
2186.0112,1297,10857.32067
1622.7338,1216,10917.203373
3109.0,1807,10924.971593
2331.7659,1958,10925.963874
3466.1885,2000,10926.910329
3190.8003,1939,10980.354263
2678.0205,1711,10981.679011
2024.6832,1309,10981.816369
2378.4036,1434,10982.409712
2077.5374,1349,10983.477279
2751.5974,1482,10983.81884
2495.3257,1704,10983.82812
2697.9805,1677,11046.383321
2027.2582,1279,11046.923387
2050.5984,1425,11047.552323
1701.8774,1215,11048.465622
2588.2307,1987,11048.71422
2640.0012,1682,11049.291955
2518.0,1310,11110.371559
2640.0,1428,11119.459919
1968.1932,1419,11121.317751
1602.4945,1281,11168.067932
1599.2898,1119,11168.357575
2511.0,1390,11168.854303
1863.5477,1157,11168.98975
1611.735,1220,11170.580901
1594.7444,1147,11170.614625
2911.6013,2000,11171.451471
1983.4429,1269,11237.439193
3542.0,2000,11237.661821
3367.0,2000,11239.003263
2619.693,1585,11239.011662
2835.0957,1957,11239.224666
1702.5751,1113,11293.247012
816.5216,2000,11302.561372
2731.2031,2000,11302.802601
2499.1416,1601,11303.124855
1600.1063,1136,11359.10684
1855.4456,1822,11361.853907
1829.406,1550,11361.889796
